shape_id,shape_len,period,speed_miles_per_minute,color
[@15.0.59410957@]2,10165,20,508.25,#3180B6
[@15.0.60390798@]11,19569,47,416.3617021,#3180B6
[@15.0.60391334@]37,7868,20,393.4,#3180B6
[@15.0.60391486@]2,5076,16,317.25,#3180B6
[@15.0.61662606@]1,26127,65,401.9538462,#3180B6
[@15.0.61662606@]11,26076,67,389.1940299,#3180B6
[@15.0.61662606@]114,4739,8,592.375,#3180B6
[@15.0.61662606@]133,17541,34,515.9117647,#3180B6
[@15.0.61662606@]136,6029,12,502.4166667,#3180B6
[@15.0.61662606@]137,6029,17,354.6470588,#3180B6
[@15.0.61662606@]138,17793,43.9667,404.3863636,#3180B6
[@15.0.61662606@]140,7827,15,521.8,#3180B6
[@15.0.61662606@]364,25672,63,407.4920635,#3180B6
[@15.0.61662606@]366,25621,65,394.1692308,#3180B6
[@15.0.61662606@]574,27932,75,372.4266667,#3180B6
[@15.0.61662606@]590,12654,29,436.3448276,#3180B6
[@15.0.61662606@]591,14567,35,416.2,#3180B6
[@15.0.61662606@]593,6348,16,396.75,#3180B6
[@15.0.61662606@]690,8261,20,413.05,#3180B6
[@15.0.61662606@]694,8131,24,338.7916667,#3180B6
[@15.0.61662606@]706,7884,15,525.6,#3180B6
[@15.0.61662606@]714,4824,10,482.4,#3180B6
[@15.0.61662606@]754,7868,15,524.5333333,#3180B6
[@15.0.61734120@]1,7534,30,251.1333333,#EDF7B4
[@15.0.61734120@]2,5774,12,481.1666667,#3180B6
[@15.0.61734120@]215,20774,74,280.7297297,#EDF7B4
[@15.0.61734120@]225,15892,46,345.4782609,#3180B6
[@15.0.61734120@]240,26607,74,359.5540541,#3180B6
[@15.0.61734120@]316,14013,35,400.3714286,#3180B6
[@15.0.61734120@]335,5774,13,444.1538462,#3180B6
[@15.0.63188916@]15,4712,10,471.2,#3180B6
[@15.0.63189004@]23,24839,70,354.8428571,#3180B6
[@15.0.63189004@]25,15237,45,338.6,#3180B6
[@15.0.63189099@]29,6489,22,294.9545455,#EDF7B4
[@15.0.63189138@]10,16207,40,405.175,#3180B6
[@15.0.63189138@]25,15808,41,385.5609756,#3180B6
[@15.0.63189138@]8,13267,29,457.4827586,#3180B6
[@15.0.63189138@]9,20974,59,355.4915254,#3180B6
[@15.0.63189208@]3,1486,3,495.3333333,#3180B6
[@15.0.63191692@]369,23608,56,421.5714286,#3180B6
[@15.0.63191692@]370,11488,25,459.52,#3180B6
[@15.0.63191692@]43,9709,25,388.36,#3180B6
[@15.0.63191892@]26,11923,36,331.1944444,#3180B6
[@15.0.63192037@]1,13219,33,400.5757576,#3180B6
[@15.0.63192037@]3,12924,35,369.2571429,#3180B6
[@15.0.63192037@]4,14134,29,487.3793103,#3180B6
[@15.0.63192099@]7,10453,27,387.1481481,#3180B6
[@15.0.63192124@]23,3938,10,393.8,#3180B6
[@15.0.63192185@]43,6873,17,404.2941176,#3180B6
[@15.0.63192321@]21,12819,33,388.4545455,#3180B6
[@15.0.63192321@]25,9144,27,338.6666667,#3180B6
[@15.0.63192528@]43,12988,40,324.7,#3180B6
[@15.0.63192662@]3,11901,31,383.9032258,#3180B6
[@15.0.63192662@]36,3892,10,389.2,#3180B6
[@15.0.63192662@]4,13662,35,390.3428571,#3180B6
[@15.0.63192662@]5,8165,22,371.1363636,#3180B6
[@15.0.63192662@]604,8143,23,354.0434783,#3180B6
[@15.0.63192993@]31,14451,32,451.59375,#3180B6
[@15.0.64600293@]1,7548,14,539.1428571,#3180B6
[@15.0.64600293@]17,1439,3,479.6666667,#3180B6
[@15.0.64600293@]2,11138,21,530.3809524,#3180B6
[@15.0.64613606@]1,10824,22,492,#3180B6
[@15.0.64613606@]2,13874,28,495.5,#3180B6
[@15.0.64613606@]3,3721,6,620.1666667,#82CCBB
[@15.0.64613606@]4,12243,24,510.125,#3180B6
[@15.0.64657075@]1,11032,20,551.6,#3180B6
[@15.0.64657075@]19,1439,3,479.6666667,#3180B6
[@15.0.64657075@]2,14000,28,500,#3180B6
