shape_id,shape_len,period
[@2.0.83502711@]3,18411,39
[@2.0.84876422@]22,5637,15
[@2.0.84876422@]62,9740,21.6667
[@2.0.84876422@]885,16723,38.5
[@2.0.84876422@]LAVENDER 1,15039,29
[@2.0.84876422@]LAVENDER 1415,23412,59
[@2.0.84876422@]LAVENDER 1425,16716,45
[@2.0.84876422@]LAVENDER 1440,11666,22
[@2.0.84876422@]LAVENDER 1505,19957,49
[@2.0.84876422@]LAVENDER 43,14307,35
[@2.0.84876422@]LP1SCHOOLPO,18094,42
[@2.0.84887452@]67,3308,10
[@2.0.84887452@]7,11357,37
[@2.0.84887452@]GREEN 1,3504,7
[@2.0.84887452@]GREEN 2,8036,19
[@2.0.84887452@]GREEN 3,4848,26
[@2.0.84887452@]GREEN 336,10138,42
[@2.0.84887452@]S6 ALT,8570,27.25
[@2.0.84887452@]SCWD UMS,8269,25.25
[@2.0.84907145@]1435,25833,50
[@2.0.84907145@]21,12120,40
[@2.0.84907145@]25,11856,35
[@2.0.84907145@]326,9526,25
[@2.0.84907145@]331,3252,15
[@2.0.84907145@]336,6915,29
[@2.0.84907145@]34,12708,25
[@2.0.84907145@]36,11189,24
[@2.0.84907145@]7W SHOW 226,4868,14
[@2.0.84907145@]7W SHOW 97,910,2.3333
[@2.0.84907145@]7W UHS 216,7496,26
[@2.0.84907145@]88,8931,24
[@2.0.84907145@]BA3-3 58,7071,17
[@2.0.84907145@]GREY 1415,4710,24.25
[@2.0.84907145@]GREY 1425,9918,39
[@2.0.84907145@]GREY 1525,3937,10
[@2.0.84907145@]GREY 1535,6194,33
[@2.0.84916234@]65,25786,72
[@2.0.84927215@]2,7171,21.85
[@2.0.84927215@]GOLD 1,9957,24.6
[@2.0.84927215@]GOLD 1505,7554,7.5
[@2.0.84927215@]GOLD 1535,7448,16
[@2.0.84927215@]GOLD 336,9604,33
[@2.0.84927215@]ORB2 UMS,9184,20
[@2.0.84948307@]11,7615,20
[@2.0.84948307@]133,12192,39.5
[@2.0.84948307@]2,8399,17
[@2.0.84948307@]22,12071,32
[@2.0.84948307@]7,14023,35
[@2.0.84953216@]33,18083,50
[@2.0.84953216@]43,19285,50
[@2.0.84953216@]GREEN EX 1425,19358,63
[@2.0.85633009@]76,15430,44
[@2.0.85633009@]78,9682,15
[@2.0.85633622@]8,6356,25
[@2.0.85634618@]21,13453,35
[@2.0.85634827@]37,13270,39
[@2.0.85635071@]58,7152,17
[@2.0.86175868@]18,4639,13
[@2.0.86175868@]19,1699,3
[@2.0.86175868@]25,11072,34
[@2.0.86175868@]27,917,3
[@2.0.86175868@]34,8737,21
[@2.0.86175868@]42,7544,15
[@2.0.86175868@]53,1730,4
[@2.0.86175868@]56,3844,10
[@2.0.86175868@]6WIT->CF,13713,39
[@2.0.86175868@]7,11753,30
[@2.0.86175868@]70,2847,5
[@2.0.86175868@]75,7590,20
[@2.0.86175868@]ORANGE 12,8813,18
[@2.0.86175868@]ORANGE 13,13452,43
[@2.0.86175868@]ORANGE 14,4405,12
[@2.0.86175868@]ORANGE 16,4408,13
[@2.0.86175868@]ORANGE 17,7590,30
[@2.0.86175868@]ORANGE 23,3892,10
[@2.0.86175868@]ORANGE 24,1410,3
[@2.0.86175868@]ORANGE 31,16282,55
[@2.0.86175868@]ORANGE 32,4975,10
[@2.0.86175868@]ORANGE 33,11775,28
[@2.0.86175868@]ORANGE 610,1439,3
[@2.0.86175868@]ORANGE 63,9206,27
[@2.0.86175868@]ORANGE 64,8737,24
[@2.0.86232218@]426,16158,43
