shape_id,trips_per_hour,color
[@124.0.92327957@]100N-LATE,4.2857,#82CCBB
[@124.0.92327957@]100NLTNT->,1.9355,#EDF7B4
[@124.0.92327957@]100SLTNT->,2.0690,#EDF7B4
[@124.0.92327957@]32,2.3077,#EDF7B4
[@124.0.92330667@]100 LATE 3,4.2857,#82CCBB
[@124.0.92330667@]100 LATE 4,3.5294,#EDF7B4
[@124.0.92330667@]100 LATE 5,2.1429,#EDF7B4
[@124.0.92330667@]100NLTNT->,1.9355,#EDF7B4
[@124.0.92330667@]100SLTNT->,2.0690,#EDF7B4
[@124.0.92334988@]1,6.0000,#82CCBB
[@124.0.92334988@]219,1.0526,#EDF7B4
[@124.0.92334988@]395,2.1429,#EDF7B4
[@124.0.92334988@]397,1.6667,#EDF7B4
[@124.0.92334988@]50E->LS,2.1429,#EDF7B4
[@124.0.92334988@]50E->PC,1.2500,#EDF7B4
[@124.0.92334988@]50W-WKND,1.2500,#EDF7B4
[@124.0.92334988@]50W-WKND->IT,1.4286,#EDF7B4
[@124.0.92334988@]GN1SUNPO,20.0000,#3180B6
[@124.0.92334988@]GN4SUNPO,3.0000,#EDF7B4
[@124.0.92334988@]GN5SUNPO,6.0000,#82CCBB
[@124.0.92334988@]GREEN WEEKEND 32,3.0000,#EDF7B4
[@124.0.92344750@]50E->50WLNIGHT,4.0000,#82CCBB
[@124.0.92344750@]50E-LATE,4.0000,#82CCBB
[@124.0.92344750@]50W-LATE,4.0000,#82CCBB
[@124.0.92344750@]50WLTNT->,4.0000,#82CCBB
[@124.0.92345918@]50E-LATE,4.2857,#82CCBB
[@124.0.92345918@]50W-LATE,4.2857,#82CCBB
[@124.0.92348983@]22N 316,5.0000,#82CCBB
[@124.0.92348983@]ILLINI 845 315,4.6154,#82CCBB
[@124.0.92350475@]2,6.0000,#82CCBB
[@124.0.92350475@]3,6.0000,#82CCBB
[@14.0.51708617@]32,1.7143,#EDF7B4
[@14.0.56288268@]341,6.0000,#82CCBB
[@14.0.56288340@]23,4.6154,#82CCBB
[@14.0.56288404@]14,3.3333,#EDF7B4
[@14.0.56288404@]21,12.0000,#3180B6
[@14.0.56288404@]24,12.0000,#3180B6
[@14.0.56288404@]31,20.0000,#3180B6
[@14.0.56288404@]32,6.0000,#82CCBB
[@14.0.56288404@]33,6.0000,#82CCBB
[@14.0.56288404@]40,2.8571,#EDF7B4
[@14.0.56288404@]42,3.0000,#EDF7B4
[@14.0.56288404@]45,3.0000,#EDF7B4
[@14.0.56288404@]5,3.7500,#EDF7B4
[@14.0.56288498@]24,8.5714,#3180B6
[@14.0.56288722@]18,3.5294,#EDF7B4
[@14.0.56288722@]34,4.0000,#82CCBB
[@14.0.56288722@]35,5.0000,#82CCBB
[@14.0.56288722@]36,4.0000,#82CCBB
[@14.0.56288722@]64,3.3333,#EDF7B4
[@14.0.56288947@]26,2.1429,#EDF7B4
[@14.0.56289002@]26,5.0000,#82CCBB
[@14.0.56289035@]63,8.5714,#3180B6
[@14.0.57586460@]38,3.0000,#EDF7B4
[@14.0.57766396@]100N,6.0000,#82CCBB
[@14.0.57766396@]100NGRNWRT->,1.7647,#EDF7B4
[@14.0.57766396@]100NY1,60.0000,#3180B6
[@14.0.57766396@]100S,6.6667,#82CCBB
[@14.0.57766396@]100S->BRWSWDFLD,1.4634,#EDF7B4
[@14.0.57766396@]Y1SATPO,6.0000,#82CCBB
[@14.0.57766396@]Y3SATPO,4.0000,#82CCBB
[@15.0.59410957@]1,2.0000,#EDF7B4
[@15.0.59410957@]2,3.0000,#EDF7B4
[@15.0.60390798@]11,1.2766,#EDF7B4
[@15.0.60391334@]37,3.0000,#EDF7B4
[@15.0.60391486@]2,3.7500,#EDF7B4
[@15.0.61662606@]1,12.0000,#3180B6
[@15.0.61662606@]11,6.0000,#82CCBB
[@15.0.61662606@]114,7.5000,#82CCBB
[@15.0.61662606@]133,1.7647,#EDF7B4
[@15.0.61662606@]136,5.0000,#82CCBB
[@15.0.61662606@]137,3.5294,#EDF7B4
[@15.0.61662606@]138,1.3953,#EDF7B4
[@15.0.61662606@]140,4.0000,#82CCBB
[@15.0.61662606@]364,5.0000,#82CCBB
[@15.0.61662606@]366,8.5714,#3180B6
[@15.0.61662606@]574,4.0000,#82CCBB
[@15.0.61662606@]590,2.0690,#EDF7B4
[@15.0.61662606@]591,1.7143,#EDF7B4
[@15.0.61662606@]593,3.7500,#EDF7B4
[@15.0.61662606@]690,2.7273,#EDF7B4
[@15.0.61662606@]694,2.5000,#EDF7B4
[@15.0.61662606@]706,4.0000,#82CCBB
[@15.0.61662606@]714,6.0000,#82CCBB
[@15.0.61662606@]754,4.0000,#82CCBB
[@15.0.61734120@]1,2.0000,#EDF7B4
[@15.0.61734120@]2,5.0000,#82CCBB
[@15.0.61734120@]215,4.2857,#82CCBB
[@15.0.61734120@]225,1.3043,#EDF7B4
[@15.0.61734120@]240,4.2857,#82CCBB
[@15.0.61734120@]316,1.7143,#EDF7B4
