shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,area,color
[@2.0.86175868@]19,40.11596,-88.183628,231,"684.5110062586954",4,#F8F8F2
[@2.0.86175868@]19,40.115952,-88.183622,232,"685.5373151123508",4,#F8F8F2
[@2.0.86175868@]19,40.115944,-88.183616,233,"686.5592286188125",4,#F8F8F2
[@2.0.86175868@]19,40.115937,-88.18361,234,"687.4888813747591",4,#F8F8F2
[@2.0.86175868@]19,40.115929,-88.183604,235,"688.5107948812208",4,#F8F8F2
[@2.0.86175868@]19,40.115921,-88.183598,236,"689.5327083876825",4,#F8F8F2
[@2.0.86175868@]19,40.115914,-88.183592,237,"690.4671905410925",4,#F8F8F2
[@2.0.86175868@]19,40.115906,-88.183586,238,"691.4934993947479",4,#F8F8F2
[@2.0.86175868@]19,40.115868,-88.183559,239,"696.299828118503",4,#F8F8F2
[@2.0.86175868@]19,40.11583,-88.183533,240,"701.065715435623",4,#F8F8F2
[@2.0.86175868@]19,40.115792,-88.183508,241,"705.7927201251683",4,#F8F8F2
[@2.0.86175868@]19,40.115753,-88.183482,242,"710.6567678224825",4,#F8F8F2
[@2.0.86175868@]19,40.115715,-88.183457,243,"715.3837725120278",4,#F8F8F2
[@2.0.86175868@]19,40.115676,-88.183432,244,"720.2087957004533",4,#F8F8F2
[@2.0.86175868@]19,40.115638,-88.183406,245,"724.9737384357948",4,#F8F8F2
[@2.0.86175868@]19,40.1156,-88.183378,246,"729.8210998139574",4,#F8F8F2
[@2.0.86175868@]19,40.115585,-88.183365,247,"731.8226438527206",4,#F8F8F2
[@2.0.86175868@]19,40.11557,-88.183352,248,"733.8241878914838",4,#F8F8F2
[@2.0.86175868@]19,40.115555,-88.183339,249,"735.8234817394977",4,#F8F8F2
[@2.0.86175868@]19,40.11554,-88.183326,250,"737.8250257782609",4,#F8F8F2
[@2.0.86175868@]19,40.115508,-88.183299,251,"742.0576691982714",4,#F8F8F2
[@2.0.86175868@]19,40.115476,-88.183271,252,"746.336849826694",4,#F8F8F2
[@2.0.86175868@]19,40.115446,-88.183241,253,"750.5342517521326",4,#F8F8F2
[@2.0.86175868@]19,40.115416,-88.18321,254,"754.783876758577",4,#F8F8F2
[@2.0.86175868@]19,40.115384,-88.183174,255,"759.4755156347152",4,#F8F8F2
[@2.0.86175868@]19,40.115353,-88.183136,256,"764.1987097596029",4,#F8F8F2
[@2.0.86175868@]19,40.115323,-88.183097,257,"768.9008905809367",4,#F8F8F2
[@2.0.86175868@]19,40.115294,-88.183057,258,"773.5858085957235",4,#F8F8F2
[@2.0.86175868@]19,40.115269,-88.18302,259,"777.7799920655384",4,#F8F8F2
