shape_id,shape_len
[@2.0.85634618@]21,13453
[@2.0.85634827@]37,13270
[@2.0.85635071@]58,7152
[@2.0.86175868@]18,4639
[@2.0.86175868@]19,1699
[@2.0.86175868@]25,11072
[@2.0.86175868@]27,917
[@2.0.86175868@]34,8737
[@2.0.86175868@]42,7544
[@2.0.86175868@]53,1730
[@2.0.86175868@]56,3844
[@2.0.86175868@]6WIT->CF,13713
[@2.0.86175868@]7,11753
[@2.0.86175868@]70,2847
[@2.0.86175868@]75,7590
"[@2.0.86175868@]ORANGE 12",8813
"[@2.0.86175868@]ORANGE 13",13452
"[@2.0.86175868@]ORANGE 14",4405
"[@2.0.86175868@]ORANGE 16",4408
"[@2.0.86175868@]ORANGE 17",7590
"[@2.0.86175868@]ORANGE 23",3892
"[@2.0.86175868@]ORANGE 24",1410
"[@2.0.86175868@]ORANGE 31",16282
"[@2.0.86175868@]ORANGE 32",4975
"[@2.0.86175868@]ORANGE 33",11775
"[@2.0.86175868@]ORANGE 610",1439
"[@2.0.86175868@]ORANGE 63",9206
"[@2.0.86175868@]ORANGE 64",8737
[@2.0.86232218@]426,16158
